x_position,y_position,z_position
-16.28716823,56.06839234,34.39023383
-16.44603445,56.83550097,33.96027961
-16.61835262,57.67822371,33.49900879
-16.6902583,58.53904422,33.09692597
-16.76354804,59.42832903,32.75120633
-16.84092285,60.29610074,32.48785534
-16.88350655,61.18744084,32.24132
-16.88864715,61.98128464,32.12874382
-16.88855088,62.75419873,32.07908761
-16.88712846,63.45381937,32.09696509
-16.86213712,64.10326389,32.15976334
-16.8399067,64.65174689,32.27191223
-16.79434708,65.07669074,32.47855468
-16.80145655,65.45023116,32.6656243
-16.78833102,65.71416676,32.84277849
-16.75270983,65.89716852,33.02826231
-16.67309876,66.06591851,33.13421789
-16.6157379,66.13841478,33.31077326
-16.60591818,66.13801038,33.51353839
-16.5481879,66.10405348,33.7008604
-16.4423743,66.03605283,33.87308438
-16.432791,65.9234748,34.04678327
-16.40176888,65.800626,34.16204301
-16.34865941,65.69673059,34.23575948
-16.25184712,65.60444157,34.22961021
-16.20072054,65.46849833,34.26682739
-16.19910531,65.28141846,34.28808384
-16.12077304,65.01135042,34.36103116
-16.06565936,64.66287783,34.44151632
-16.00693596,64.18177364,34.55593327
-16.000192,63.72717168,34.62467262
-15.96579696,63.21749382,34.71907939
-15.95242358,62.68465057,34.83404008
-15.86336959,62.1423462,34.95108533
-15.78061613,61.61993319,35.00418135
-15.76468035,61.05506962,35.09814536
-15.72773207,60.45580178,35.15391799
-15.70663285,59.80812331,35.25217023
-15.66971539,59.17902689,35.28647294
-15.65762885,58.57995956,35.31554116
-15.6705806,58.01101836,35.33963241
-15.64868711,57.41450408,35.4059611
-15.7206619,56.9032506,35.3797601
-15.72923858,56.38982406,35.41554257
-15.77830158,55.88484215,35.48914291
-15.77819086,55.47336795,35.45442196
-15.82007842,55.09764684,35.45627282
-15.8657494,54.83069788,35.45067896
-15.90486662,54.64772554,35.4810697
-15.87480728,54.64585831,35.50267045
-15.88342375,54.75339706,35.47538478
-15.87238105,54.88387504,35.42667911
-15.94723497,55.04820137,35.33207674
-15.97209112,55.23358383,35.23755225
-16.10243542,55.45646282,35.11673761
-16.24792261,55.78342929,34.92671985
-16.376895,56.21224053,34.68857618
-16.55441015,56.87669967,34.30746489
-16.65151981,57.71645787,33.89199869
-16.75479754,58.63508556,33.48642826
-16.78479058,59.57564687,33.1390829
-16.79097057,60.49491119,32.89488946
-16.85812671,61.37023361,32.7121836
-16.83740095,62.22423948,32.65672446
-16.71953047,63.04362837,32.60411235
-16.72128089,63.69682782,32.66518889
-16.67540338,64.27138563,32.77440849
-16.61106194,64.70905417,32.87539496
-16.59435624,65.10490096,33.03917266
-16.50423566,65.36999644,33.27889942
-16.49064904,65.63652932,33.4732361
-16.40534049,65.79069445,33.68109683
-16.36905523,65.92273864,33.88861001
-16.41123145,65.99594351,33.99908256
-16.42636199,65.99228217,34.15900966
-16.37662744,65.99009849,34.18092271
-16.34908269,65.88611839,34.2338565
